Board,Moves,Time,Mid_Target_Tiles,Max_Depth
"[[1, 8, 7, 1, 1], [1, 1, 18, 1, 13], [1, 9, 1, 1, 1], [1, 0, 1, 1, 17], [1, 1, 19, 14, 12]]",50,24.1569885,0,51
"[[1, 13, 19, 1, 1], [1, 17, 7, 1, 18], [1, 1, 14, 1, 1], [8, 0, 1, 12, 1], [9, 1, 1, 1, 1]]",45,123.025696667,0,46
"[[0, 1, 1, 1, 9], [1, 1, 1, 1, 18], [13, 1, 19, 1, 1], [1, 7, 1, 1, 8], [14, 1, 17, 12, 1]]",45,97.307672166,0,45
"[[1, 1, 1, 18, 17], [1, 1, 19, 1, 1], [1, 1, 1, 7, 12], [9, 1, 13, 1, 1], [8, 1, 0, 14, 1]]",53,0.840936583,0,54
"[[8, 1, 17, 1, 1], [13, 1, 1, 9, 1], [1, 19, 1, 14, 18], [7, 0, 1, 1, 1], [12, 1, 1, 1, 1]]",46,102.059049667,2,49
"[[1, 18, 0, 1, 1], [1, 1, 1, 1, 14], [9, 1, 8, 19, 13], [1, 1, 1, 1, 1], [17, 1, 1, 7, 12]]",52,20.662541792,0,52
"[[1, 7, 12, 1, 1], [1, 1, 1, 0, 1], [8, 1, 13, 1, 9], [19, 17, 1, 1, 1], [1, 18, 1, 1, 14]]",59,21.288641083,2,60
"[[13, 1, 12, 18, 7], [1, 1, 0, 1, 1], [1, 17, 9, 1, 19], [1, 1, 1, 14, 1], [1, 1, 1, 1, 8]]",58,9.058958042,0,60
"[[1, 1, 1, 1, 1], [9, 7, 13, 12, 19], [1, 1, 1, 0, 1], [1, 1, 17, 8, 1], [1, 1, 1, 18, 14]]",52,488.324953875,1,55
"[[1, 1, 18, 14, 1], [1, 1, 1, 1, 1], [1, 1, 7, 1, 1], [17, 9, 1, 12, 8], [1, 13, 1, 19, 0]]",54,67.096580959,0,55
"[[13, 1, 1, 1, 0], [1, 9, 8, 18, 12], [1, 1, 1, 17, 1], [1, 7, 1, 1, 1], [1, 1, 1, 19, 14]]",36,0.846998209,1,36
"[[13, 1, 1, 7, 8], [14, 1, 1, 9, 1], [1, 12, 1, 0, 1], [1, 1, 1, 17, 1], [18, 1, 19, 1, 1]]",36,9.046250958,2,36
"[[0, 17, 18, 1, 13], [1, 14, 12, 19, 1], [7, 1, 1, 8, 1], [1, 9, 1, 1, 1], [1, 1, 1, 1, 1]]",42,52.84406075,0,42
"[[9, 17, 13, 1, 1], [1, 1, 1, 0, 1], [1, 7, 1, 8, 1], [1, 1, 1, 14, 1], [12, 19, 18, 1, 1]]",44,42.461402458,0,47
"[[1, 1, 1, 1, 9], [1, 8, 13, 18, 7], [1, 0, 1, 1, 14], [1, 1, 12, 19, 1], [1, 1, 1, 1, 17]]",57,4.868443792,1,57
"[[1, 1, 1, 8, 1], [1, 1, 9, 1, 12], [1, 0, 1, 7, 14], [19, 18, 1, 1, 17], [13, 1, 1, 1, 1]]",43,1.790953709,0,43
"[[1, 0, 8, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 14, 1], [7, 1, 17, 13, 1], [1, 18, 9, 12, 19]]",53,1.125395417,1,55
"[[1, 1, 13, 1, 1], [0, 7, 9, 12, 1], [1, 1, 1, 1, 19], [1, 17, 1, 18, 14], [1, 1, 8, 1, 1]]",63,17.602936833,2,64
"[[1, 9, 1, 1, 1], [1, 1, 1, 19, 1], [1, 8, 1, 17, 13], [12, 1, 0, 14, 1], [18, 1, 1, 7, 1]]",41,15.700358958,0,41
"[[17, 1, 12, 1, 1], [1, 1, 1, 1, 1], [1, 18, 1, 1, 14], [1, 1, 9, 1, 0], [8, 13, 7, 19, 1]]",51,1.28516325,0,51
"[[1, 1, 1, 1, 8], [12, 7, 1, 13, 1], [17, 0, 19, 1, 1], [1, 18, 14, 1, 1], [1, 1, 1, 9, 1]]",69,135.117765542,1,69
"[[1, 1, 0, 9, 1], [14, 1, 1, 18, 1], [13, 1, 8, 1, 7], [1, 1, 1, 1, 1], [1, 17, 12, 19, 1]]",49,217.773573083,0,51
"[[12, 18, 1, 1, 1], [7, 1, 13, 14, 1], [1, 19, 1, 1, 8], [1, 1, 1, 1, 17], [1, 9, 0, 1, 1]]",52,98.230925167,0,52
"[[0, 1, 1, 1, 19], [7, 1, 13, 1, 1], [9, 1, 1, 1, 8], [1, 17, 1, 1, 12], [14, 18, 1, 1, 1]]",38,0.391202084,1,41
"[[18, 1, 1, 1, 1], [7, 1, 1, 19, 1], [12, 17, 1, 1, 14], [1, 1, 1, 0, 9], [1, 1, 8, 1, 13]]",46,5.860174333,0,47
"[[1, 1, 17, 1, 1], [9, 8, 1, 1, 19], [1, 1, 0, 1, 1], [1, 12, 1, 14, 13], [7, 1, 1, 18, 1]]",55,234.995107917,0,56
